total_number_of_ratings,rating_score,genre,budget,gross_usa
2246799,9.3,Drama,25000000,28699976
1587314,8.9,Adventure,94000000,377845905
1167716,8.9,Biography,22000000,96898818
657574,8.9,Crime,350000,
2215024,9.0,Action,185000000,535234033
1550133,9.2,Crime,6000000,134966411
1611848,8.7,Action,63000000,171479930
1434089,8.7,Adventure,94000000,342551365
1120327,8.7,Action,18000000,290271960
1969616,8.8,Action,160000000,292576195
1732362,8.8,Drama,55000000,330455270
1786797,8.8,Drama,63000000,37030102
1600900,8.8,Action,93000000,315544750
663617,8.8,Western,1200000,25100000
1759411,8.9,Crime,8000000,107928762
70341,8.1,Comedy,,48772
358431,8.0,Animation,28000000,217350219
79536,8.2,Drama,,1223240
42873,8.1,Drama,,
37296,8.2,Animation,,644391
55227,8.1,Drama,6000000,6783304
197540,8.0,Biography,6000000,102308889
36535,8.2,Drama,650000,144501
775862,8.0,Action,6400000,38371200
63377,8.2,Crime,9400000,
119540,8.1,Crime,4000000,
380087,8.1,Adventure,16000000,30857814
412331,8.1,Drama,25000000,169708112
83857,8.1,Drama,1162000,2181987
224631,8.0,Drama,2700000,5820649
116604,8.1,Drama,,2738980
75893,8.2,Action,184000000,
89956,8.1,Comedy,325000,
39684,8.1,Drama,,3759854
141363,8.1,Crime,2590000,280859
786597,8.0,Animation,115000000,289916256
117599,8.1,Drama,1288000,
500592,8.1,Drama,960000,117235147
141304,8.1,Animation,1000000,495770
107039,8.2,Comedy,,2197694
399281,8.1,Biography,20000000,45055776
216921,8.1,Drama,2000000,5408467
99889,8.1,Drama,10000000000,2006788
326403,8.1,Biography,17500000,23530892
99987,8.1,Crime,,509
43653,8.1,Biography,1000000,124189
44790,8.1,Biography,,21877
734060,8.1,Adventure,125000000,381409310
617257,8.1,Action,97000000,226277068
404146,8.1,Comedy,16400000,95860116
417410,8.1,Biography,38000000,26947624
369578,8.1,Drama,6000000,138530565
212484,8.1,Adventure,15000000,74422622
355052,8.1,Comedy,4000000,20206622
241939,8.1,Drama,16000000,
616273,8.1,Drama,30000000,100492203
552755,8.1,Adventure,15000000,18354356
51948,8.1,Adventure,,
351012,8.1,Adventure,8000000,52287414
139853,8.1,Drama,3800000,23689877
142776,8.1,Adventure,11000000,
156438,8.1,Crime,3200000,
843087,8.1,Action,150000000,154058340
616147,8.1,Biography,20000000,56671993
571276,8.1,Crime,46000000,61002302
38387,8.2,Action,,977375
103162,8.1,Comedy,1900000,144738
644581,8.1,Animation,165000000,217581231
77390,8.1,Action,750000,
25885,8.2,Comedy,,3270000
220067,8.1,Action,97600000,117624357
785644,8.1,Biography,52000000,164615351
257447,8.1,Drama,2500000,5535405
96468,8.1,Drama,,
678303,8.1,Adventure,25000000,59301324
409505,8.1,Biography,40000000,67209615
820640,8.1,Drama,61000000,167767189
150402,8.1,Biography,13000000,25096862
702540,8.1,Comedy,15000000,18034458
159241,8.1,Animation,8240000,
61641,8.3,Crime,4500000,1193046
60762,8.3,Crime,1200000,
69738,8.2,Animation,40000000,
166676,8.1,Comedy,3300000,3106530
123479,8.1,Action,2800000,15357
300715,8.1,Drama,15000000,48979328
48961,8.2,Drama,,
700631,8.1,Drama,33000000,148095302
153404,8.1,Film-Noir,,1067364
593995,8.1,Crime,7000000,24611975
136534,8.1,Crime,910000,
966033,8.1,Action,30000000,70099045
895488,8.1,Comedy,60000000,125618201
109151,8.2,Drama,6000000,292049
196310,8.1,Adventure,3000000,27200000
918536,8.1,Animation,94000000,380843261
669696,8.1,Action,28000000,32868943
